City Id,City,Country,Latitude,Longitude,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
360,te anau,NZ,-45.42,167.72,60.12,60.12,54,8.25,8
361,pointe michel,DM,15.25,-61.38,78.31,78.31,78,11.83,1
362,soyo,AO,-6.13,12.37,78.35,78.35,88,6.31,89
363,tolaga bay,NZ,-38.37,178.3,63.0,63.0,66,5.01,89
364,fairbanks,US,64.84,-147.72,33.73,37.0,80,13.87,90
365,taoudenni,ML,22.68,-3.98,80.58,80.58,14,6.33,0
366,narok,KE,-1.08,35.86,56.84,56.84,52,4.63,40
367,bowen,AU,-20.02,148.23,86.0,86.0,51,5.82,66
368,caravelas,BR,-17.71,-39.25,76.96,76.96,87,10.98,40
369,tonantins,BR,-2.87,-67.8,73.58,73.58,94,1.77,63
370,ponta delgada,PT,37.73,-25.67,57.2,57.2,76,10.29,20
371,kirovskiy,RU,45.09,133.51,45.88,45.88,52,7.0,84
372,lagoa,PT,39.05,-27.98,61.12,61.12,72,6.6,93
373,mahalapye,BW,-23.1,26.81,59.58,59.58,60,4.36,97
374,lasa,IT,46.62,10.7,42.44,48.99,41,2.24,5
375,oil city,US,41.43,-79.71,33.69,36.0,59,8.05,1
376,qitaihe,CN,45.8,130.85,47.41,47.41,41,12.75,45
377,nakanojo,JP,36.58,138.85,53.91,55.99,30,7.0,15
378,aguimes,ES,27.91,-15.45,67.12,68.0,72,18.34,40
379,liverpool,GB,53.41,-2.98,53.55,57.2,87,5.82,100
380,alexandria,EG,31.22,29.96,57.61,59.0,72,9.17,40
381,clonakilty,IE,51.62,-8.87,52.27,53.6,87,8.05,40
382,praia da vitoria,PT,38.73,-27.07,55.4,55.4,100,9.62,36
383,vakhrushev,RU,48.98,142.97,31.23,31.23,90,9.37,29
384,quchan,IR,37.11,58.51,52.21,52.21,55,8.61,100
385,chapais,CA,49.78,-74.85,32.0,32.0,95,12.75,90
386,aleksandrov gay,RU,50.15,48.57,40.14,40.14,64,8.59,51
387,gongzhuling,CN,43.5,124.82,57.49,57.49,29,12.71,25
388,hailakandi,IN,24.68,92.57,92.34,92.34,19,1.88,0
389,kisangani,CD,0.52,25.2,71.62,71.62,80,0.76,85
390,hami,CN,42.8,93.45,64.08,64.08,15,3.2,44
391,murgab,TM,37.5,61.97,51.8,51.8,87,5.17,75
392,yokadouma,CM,3.52,15.05,70.66,70.66,81,1.7,100
